fare_id,route_id,origin_id,destination_id
100,25,,
150,23,119_01,133_01
150,23,218_01,219_01
150,23,218_01,220_01
150,23,218_01,221_01
150,23,218_01,222_01
150,23,219_01,218_02
150,23,219_01,220_01
150,23,219_01,221_01
150,23,219_01,222_01
150,23,220_01,218_02
150,23,220_01,219_01
150,23,220_01,221_01
150,23,220_01,222_01
150,23,221_01,218_02
150,23,221_01,219_01
150,23,221_01,220_01
150,23,221_01,222_01
150,23,222_01,218_02
150,23,222_01,219_01
150,23,222_01,220_01
150,23,222_01,221_01
150,23,229_01,230_01
150,23,229_01,231_01
150,23,230_01,229_02
150,23,230_01,231_01
150,23,231_01,232_01
150,23,231_02,229_02
150,23,231_02,230_01
150,23,232_01,231_02
150,24,134_01,135_01
150,24,134_01,136_01
150,24,134_01,137_01
150,24,134_01,138_01
150,24,134_01,139_01
150,24,134_01,140_01
150,24,134_01,141_01
150,24,135_01,134_01
150,24,135_01,136_01
150,24,135_01,137_01
150,24,135_01,138_01
150,24,135_01,139_01
150,24,135_01,140_01
150,24,135_01,141_01
150,24,136_01,134_01
150,24,136_01,135_01
150,24,136_01,137_01
150,24,136_01,138_01
150,24,136_01,139_01
150,24,136_01,140_01
150,24,136_01,141_01
150,24,137_01,134_01
150,24,137_01,135_01
150,24,137_01,136_01
150,24,137_01,138_01
150,24,137_01,139_01
150,24,137_01,140_01
150,24,137_01,141_01
150,24,137_01,142_01
150,24,137_01,143_01
150,24,137_01,144_01
150,24,137_01,145_01
150,24,137_01,146_01
150,24,137_01,147_01
150,24,137_01,148_01
150,24,137_01,149_01
150,24,137_01,150_01
150,24,137_01,151_01
150,24,137_01,65_02
150,24,138_01,134_01
150,24,138_01,135_01
150,24,138_01,136_01
150,24,138_01,137_01
150,24,138_01,139_01
150,24,138_01,140_01
150,24,138_01,141_01
150,24,138_01,142_01
150,24,138_01,143_01
150,24,138_01,144_01
150,24,138_01,145_01
150,24,138_01,146_01
150,24,138_01,147_01
150,24,138_01,148_01
150,24,138_01,149_01
150,24,138_01,150_01
150,24,138_01,151_01
150,24,138_01,65_02
150,24,139_01,134_01
150,24,139_01,135_01
150,24,139_01,136_01
150,24,139_01,137_01
150,24,139_01,138_01
150,24,139_01,140_01
150,24,139_01,141_01
150,24,139_01,142_01
150,24,139_01,143_01
150,24,139_01,144_01
150,24,139_01,145_01
150,24,139_01,146_01
150,24,139_01,147_01
150,24,139_01,148_01
150,24,139_01,149_01
150,24,139_01,150_01
150,24,139_01,151_01
150,24,139_01,65_02
150,24,140_01,134_01
150,24,140_01,135_01
150,24,140_01,136_01
150,24,140_01,137_01
150,24,140_01,138_01
150,24,140_01,139_01
150,24,140_01,141_01
150,24,140_01,142_01
150,24,140_01,143_01
150,24,140_01,144_01
150,24,140_01,145_01
150,24,140_01,146_01
150,24,140_01,147_01
150,24,140_01,148_01
150,24,140_01,149_01
150,24,140_01,150_01
150,24,140_01,151_01
150,24,140_01,65_02
150,24,141_01,134_01
150,24,141_01,135_01
150,24,141_01,136_01
150,24,141_01,137_01
150,24,141_01,138_01
150,24,141_01,139_01
150,24,141_01,140_01
150,24,141_01,142_01
150,24,141_01,143_01
150,24,141_01,144_01
150,24,141_01,145_01
150,24,141_01,146_01
150,24,141_01,147_01
