stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
384_01,,大仏,,36.2102348508412,138.055676394815,384_01,,0,
385_01,,厩所,,36.2137066177844,138.053419509331,385_01,,0,
386_01,,北厩所,,36.215208151671,138.052238997052,386_01,,0,
387_01,,原,,36.2176296841484,138.049704399486,387_01,,0,
388_01,,奈良尾,,36.2186364323933,138.046579631444,388_01,,0,
389_01,,福祉ひろば前,,36.2193134086113,138.045433870991,389_01,,0,
39_01,,国府町,,36.2310548563824,137.968287342675,39_01,,0,
39_02,,国府町,,36.2311937311934,137.968356775589,39_02,,0,
390_01,,徳運寺前,,36.2199643434324,138.044183953963,390_01,,0,
391_01,,大手橋,,36.2206759847095,138.040989759214,391_01,,0,
392_01,,竹ノ下公民館,,36.2212401103703,138.039219057597,392_01,,0,
393_01,,包石,,36.2229499438452,138.037656625886,393_01,,0,
393_02,,包石,,36.223114849244,138.03741358495,393_02,,0,
394_01,,舟付橋,,36.225744611882,138.031823689459,394_01,,0,
395_01,,高原入口,,36.2270464743045,138.029046101846,395_01,,0,
396_01,,出張所前,,36.2288864381167,138.025053320918,396_01,,0,
397_01,,桐原,,36.2309086718584,138.021025813607,397_01,,0,
398_01,,入山辺局前,,36.2321757853797,138.017067774583,398_01,,0,
398_02,,入山辺局前,,36.2323754009193,138.016512259476,398_02,,0,
399_01,,上金井,,36.2354217095945,138.008110092449,399_01,,0,
40_01,,市民芸術館西,,36.23029114032,137.971585696779,40_01,,0,
400_01,,里山辺出張所前,,36.2360118000667,138.003492415461,400_01,,0,
401_01,,金井医院,,36.2350830732773,138.002971664174,401_01,,0,
402_01,,荒町公民館前,,36.2360030223043,137.999708022979,402_01,,0,
403_01,,西荒町,,36.2363674792848,137.996444403758,403_01,,0,
404_01,,小林内科医院,,36.2402472305448,137.995923462381,404_01,,0,
405_01,,惣社,デリシア惣社店前,36.2385198911706,137.991826665081,405_01,,0,
405_02,,惣社,デリシア惣社店前,36.2387802825709,137.992000250787,405_02,,0,
405_03,,惣社,,36.2374609808538,137.991687830137,405_03,,0,
406_01,,しらゆり内科・循環器科Ｃ,,36.2370530089576,137.990437955067,406_01,,0,
407_01,,清水東区,,36.2373219673454,137.986271640462,407_01,,0,
408_01,,清水中学校前,,36.2375562687243,137.984466232819,408_01,,0,
408_02,,清水中学校前,,36.2376257034289,137.984396791676,408_02,,0,
409_01,,湯川町,,36.2378513126399,137.982105315586,409_01,,0,
409_02,,湯川町,,36.2379120704826,137.982140032386,409_02,,0,
41_01,,相澤病院,,36.2271578521905,137.972905150089,41_01,,0,
410_01,,桜橋,,36.2381203160682,137.979674960991,410_01,,0,
410_02,,桜橋,,36.2380943016899,137.980612380405,410_02,,0,
411_01,,桜町,,36.2383632970168,137.977869553019,411_01,,0,
411_02,,桜町,,36.2384587740122,137.977938987646,411_02,,0,
412_01,,葭町,,36.238597601105,137.976168302993,412_01,,0,
412_02,,葭町,,36.238788534388,137.975508630662,412_02,,0,
413_01,,大仏公民館,,36.2088807964902,138.054044645815,413_01,,0,
414_01,,小仏,,36.2103302611223,138.053176608427,414_01,,0,
415_01,,一ノ海,,36.2149476863079,138.049218436719,415_01,,0,
416_01,,山口,,36.2178638745802,138.043628529795,416_01,,0,
417_01,,宮原,,36.2206238279918,138.037934471492,417_01,,0,
418_01,,宮原神社,,36.2223162888193,138.035851252444,418_01,,0,
419_01,,舟付,,36.2242169978705,138.031407119449,419_01,,0,
42_01,,栄町公民館,,36.2274356981205,137.976758970287,42_01,,0,
420_01,,南方,,36.2276711369987,138.018803912752,420_01,,0,
421_01,,南方公民館南,,36.2270808780192,138.016929099227,421_01,,0,
422_01,,橋倉上手村,,36.2238867644051,138.015609895846,422_01,,0,
423_01,,橋倉口,,36.2255445538295,138.015332076708,423_01,,0,
424_01,,川久保橋南,,36.2287733983064,138.017137347519,424_01,,0,
425_01,,川久保橋北,,36.2299538090259,138.016755389635,425_01,,0,
426_01,,西桐原南,,36.2320801993389,138.012797316658,426_01,,0,
427_01,,駒越,,36.2261791834143,138.054668907198,427_01,,0,
428_01,,千手,,36.2244517166439,138.045676702159,428_01,,0,
429_01,,中村,,36.2227851565562,138.042447882285,429_01,,0,
43_01,,筑摩小学校口,,36.2235386516009,137.979744975366,43_01,,0,
430_01,,中村道祖神前,,36.2222469776243,138.040677224263,430_01,,0,
431_01,,寺所,,36.2262568089067,138.035781658196,431_01,,0,
432_01,,竹ノ下,,36.2220907003991,138.038941270341,432_01,,0,
433_01,,東桐原公民館前,,36.2309174217252,138.023733910951,433_01,,0,
434_01,,西桐原北,,36.2346061758034,138.021407578583,434_01,,0,
435_01,,柴宮神社,,36.2339811868466,138.019081416839,435_01,,0,
436_01,,山辺中学校前,,36.2370531098359,137.994326505454,436_01,,0,
438_01,,１８区公民館,,36.1983040532844,137.859617542497,438_01,,0,
439_01,,北原西公園,,36.1966289388582,137.861214691402,439_01,,0,
44_01,,西筑摩,,36.2210302568894,137.979710355205,44_01,,0,
44_02,,西筑摩,,36.2209695026458,137.979814515205,44_02,,0,
440_01,,上手緑化前,,36.192723087067,137.859340008241,440_01,,0,
