table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja-Hrkt,まつもとし,2000020202029	,,
agency,agency_name,en,Matsumoto City,2000020202029	,,
stops,stop_name,ja-Hrkt,まつもとえきあるぷすぐち,10_01,,
stops,stop_name,ja-Hrkt,かみりゅうだこうみんかん,100_01,,
stops,stop_name,ja-Hrkt,じぇいえいあづみあずさがわししょ,101_01,,
stops,stop_name,ja-Hrkt,あずさがわしんりょうじょ,102_01,,
stops,stop_name,ja-Hrkt,あずさがわししょ,103_01,,
stops,stop_name,ja-Hrkt,あずさがわしょうがっこう,104_01,,
stops,stop_name,ja-Hrkt,からもも,105_01,,
stops,stop_name,ja-Hrkt,おおづまぐち,106_01,,
stops,stop_name,ja-Hrkt,かいんずほーむあずさがわてん,109_01,,
stops,stop_name,ja-Hrkt,なぎさまち,11_01,,
stops,stop_name,ja-Hrkt,なぎさまち,11_02,,
stops,stop_name,ja-Hrkt,やまときた,110_01,,
stops,stop_name,ja-Hrkt,やまとこうえんまえ,111_01,,
stops,stop_name,ja-Hrkt,まるただんち,116_01,,
stops,stop_name,ja-Hrkt,おしで,117_01,,
stops,stop_name,ja-Hrkt,はたぶんかせんたー,118_01,,
stops,stop_name,ja-Hrkt,はたぶんかせんたー,118_02,,
stops,stop_name,ja-Hrkt,はたえき,119_01,,
stops,stop_name,ja-Hrkt,なぎさらいふさいと,12_01,,
stops,stop_name,ja-Hrkt,あいしてぃにじゅういち,120_01,,
stops,stop_name,ja-Hrkt,しもたけだ,121_01,,
stops,stop_name,ja-Hrkt,たけだ,122_01,,
stops,stop_name,ja-Hrkt,きねんひまえ,123_01,,
stops,stop_name,ja-Hrkt,きねんひまえ,123_02,,
stops,stop_name,ja-Hrkt,やまがたむらやくば,124_01,,
stops,stop_name,ja-Hrkt,やまがたしょうがっこう,125_01,,
stops,stop_name,ja-Hrkt,かみたけだ,126_01,,
stops,stop_name,ja-Hrkt,からさわ,127_01,,
stops,stop_name,ja-Hrkt,さらだまーけっと,128_01,,
stops,stop_name,ja-Hrkt,とめばやし,129_01,,
stops,stop_name,ja-Hrkt,まるのうちびょういん,13_01,,
stops,stop_name,ja-Hrkt,きゅうなかはたしゅっちょうじょ,130_02,,
stops,stop_name,ja-Hrkt,なかはた,131_01,,
stops,stop_name,ja-Hrkt,なかはた,131_02,,
stops,stop_name,ja-Hrkt,はたゆうびんきょく,132_01,,
stops,stop_name,ja-Hrkt,まつもとしりつびょういん,133_01,,
stops,stop_name,ja-Hrkt,あいよししゃこ,134_01,,
stops,stop_name,ja-Hrkt,あいよし,135_01,,
stops,stop_name,ja-Hrkt,しもあいよし,136_01,,
stops,stop_name,ja-Hrkt,まぶね,137_01,,
stops,stop_name,ja-Hrkt,なかよこかわ,138_01,,
stops,stop_name,ja-Hrkt,よこかわ,139_01,,
stops,stop_name,ja-Hrkt,じゃばらばし,14_01,,
stops,stop_name,ja-Hrkt,じゃばらばし,14_02,,
stops,stop_name,ja-Hrkt,なかやしき,140_01,,
stops,stop_name,ja-Hrkt,はらやまぐち,141_01,,
stops,stop_name,ja-Hrkt,はらやまばし,142_01,,
stops,stop_name,ja-Hrkt,やまざき,143_01,,
stops,stop_name,ja-Hrkt,かない,144_01,,
stops,stop_name,ja-Hrkt,なかがわ,145_01,,
stops,stop_name,ja-Hrkt,なかがわしょうぼうだんつめしょ,146_01,,
stops,stop_name,ja-Hrkt,めすだ,147_01,,
stops,stop_name,ja-Hrkt,とよいずみばし,148_01,,
stops,stop_name,ja-Hrkt,やきゅう,149_01,,
stops,stop_name,ja-Hrkt,ほりごめしんでん,15_01,,
stops,stop_name,ja-Hrkt,ながこし,150_01,,
stops,stop_name,ja-Hrkt,ふじいけ,151_01,,
stops,stop_name,ja-Hrkt,あいだぐち,152_01,,
stops,stop_name,ja-Hrkt,しがのさとくりにっく,153_01,,
stops,stop_name,ja-Hrkt,しがししょ,154_01,,
stops,stop_name,ja-Hrkt,ちゅうがっこうまえ,155_01,,
stops,stop_name,ja-Hrkt,あいだゆうびんきょくまえ,156_01,,
stops,stop_name,ja-Hrkt,やなぎやまえ,157_01,,
stops,stop_name,ja-Hrkt,じょううんじした,158_01,,
stops,stop_name,ja-Hrkt,いたば,159_01,,
stops,stop_name,ja-Hrkt,ごうどうちょうしゃ,16_01,,
stops,stop_name,ja-Hrkt,さわや,160_01,,
stops,stop_name,ja-Hrkt,あぶらざか,161_01,,
stops,stop_name,ja-Hrkt,そりまちのうきょうまえ,162_01,,
stops,stop_name,ja-Hrkt,だいもん,163_01,,
stops,stop_name,ja-Hrkt,やむろ,164_01,,
