table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,はぎまち,145_01,,
stops,stop_name,ja-Hrkt,はぎまち,145_02,,
stops,stop_name,ja-Hrkt,やすはらまち,146_01,,
stops,stop_name,ja-Hrkt,やすはらまち,146_02,,
stops,stop_name,ja-Hrkt,しんまち,147_01,,
stops,stop_name,ja-Hrkt,しんまち,147_02,,
stops,stop_name,ja-Hrkt,かたは,148_02,,
stops,stop_name,ja-Hrkt,しろがねちょう,149_01,,
stops,stop_name,ja-Hrkt,しろがねちょう,149_02,,
stops,stop_name,ja-Hrkt,なかはらまち,150_01,,
stops,stop_name,ja-Hrkt,なかはらまち,150_02,,
stops,stop_name,ja-Hrkt,まつおかぐち,151_01,,
stops,stop_name,ja-Hrkt,まつおかぐち,151_02,,
stops,stop_name,ja-Hrkt,まつおか,152_01,,
stops,stop_name,ja-Hrkt,まつおか,152_02,,
stops,stop_name,ja-Hrkt,おかだひがしく,153_02,,
stops,stop_name,ja-Hrkt,おかだしゅっちょうじょまえ,154_01,,
stops,stop_name,ja-Hrkt,おかだしゅっちょうじょまえ,154_02,,
stops,stop_name,ja-Hrkt,なかまち,155_01,,
stops,stop_name,ja-Hrkt,なかまち,155_02,,
stops,stop_name,ja-Hrkt,おかだまち,156_01,,
stops,stop_name,ja-Hrkt,おかだまち,156_02,,
stops,stop_name,ja-Hrkt,やましろぐち,157_01,,
stops,stop_name,ja-Hrkt,やましろぐち,157_02,,
stops,stop_name,ja-Hrkt,なかじょう,158_01,,
stops,stop_name,ja-Hrkt,なかじょう,158_02,,
stops,stop_name,ja-Hrkt,かまだ,159_01,,
stops,stop_name,ja-Hrkt,かまだ,159_02,,
stops,stop_name,ja-Hrkt,かまだ,159_03,,
stops,stop_name,ja-Hrkt,かまだ,159_04,,
stops,stop_name,ja-Hrkt,そやのぐち,160_01,,
stops,stop_name,ja-Hrkt,そやのぐち,160_02,,
stops,stop_name,ja-Hrkt,たかみや,161_01,,
stops,stop_name,ja-Hrkt,たかみや,161_02,,
stops,stop_name,ja-Hrkt,たかみやみなみ,162_01,,
stops,stop_name,ja-Hrkt,たかみやみなみ,162_02,,
stops,stop_name,ja-Hrkt,いししばちょう,163_01,,
stops,stop_name,ja-Hrkt,いししばちょう,163_02,,
stops,stop_name,ja-Hrkt,のみぞぐち,164_01,,
stops,stop_name,ja-Hrkt,のみぞぐち,164_02,,
stops,stop_name,ja-Hrkt,ふたごばし,165_01,,
stops,stop_name,ja-Hrkt,ふたごばし,165_02,,
stops,stop_name,ja-Hrkt,しもふたご,166_01,,
stops,stop_name,ja-Hrkt,しもふたご,166_02,,
stops,stop_name,ja-Hrkt,かんばやしこうそくばすていまえ,167_01,,
stops,stop_name,ja-Hrkt,かんばやしこうそくばすていまえ,167_02,,
stops,stop_name,ja-Hrkt,まちかんひがし,168_01,,
stops,stop_name,ja-Hrkt,まちかんひがし,168_02,,
stops,stop_name,ja-Hrkt,かんばやし,169_01,,
stops,stop_name,ja-Hrkt,かんばやし,169_02,,
stops,stop_name,ja-Hrkt,かみふたごぐち,170_01,,
stops,stop_name,ja-Hrkt,かみふたごぐち,170_02,,
