service_id,date,exception_type
土休日,20260811,1
土休日,20260812,1
土休日,20260813,1
土休日,20260814,1
土休日,20260921,1
土休日,20260922,1
土休日,20260923,1
土休日,20261012,1
土休日,20261103,1
土休日,20261123,1
土休日,20270101,1
土休日,20270111,1
土休日,20270211,1
土休日,20270223,1
土休日,20270322,1
土休日,20270429,1
土休日,20270503,1
土休日,20270504,1
土休日,20270505,1
土休日,20270719,1
土休日,20270811,1
土休日,20270920,1
土休日,20270923,1
土休日,20271011,1
土休日,20271103,1
土休日,20271123,1
年末年始フル,20260811,1
年末年始フル,20260812,1
年末年始フル,20260813,1
年末年始フル,20260814,1
年末年始フル,20260921,1
年末年始フル,20260922,1
年末年始フル,20260923,1
年末年始フル,20261012,1
年末年始フル,20261103,1
年末年始フル,20261123,1
年末年始フル,20270101,1
年末年始フル,20270111,1
年末年始フル,20270211,1
年末年始フル,20270223,1
年末年始フル,20270322,1
年末年始フル,20270429,1
年末年始フル,20270503,1
年末年始フル,20270504,1
年末年始フル,20270505,1
年末年始フル,20270719,1
年末年始フル,20270811,1
年末年始フル,20270920,1
年末年始フル,20270923,1
年末年始フル,20271011,1
年末年始フル,20271103,1
年末年始フル,20271123,1
年末年始全休,20260811,1
年末年始全休,20260921,1
年末年始全休,20260922,1
年末年始全休,20260923,1
年末年始全休,20261012,1
年末年始全休,20261103,1
年末年始全休,20261123,1
年末年始全休,20270101,1
年末年始全休,20270111,1
年末年始全休,20270211,1
年末年始全休,20270223,1
年末年始全休,20270322,1
年末年始全休,20270429,1
年末年始全休,20270503,1
年末年始全休,20270504,1
年末年始全休,20270505,1
年末年始全休,20270719,1
年末年始全休,20270811,1
年末年始全休,20270920,1
年末年始全休,20270923,1
年末年始全休,20271011,1
年末年始全休,20271103,1
年末年始全休,20271123,1
平日,20260811,2
平日,20260812,2
平日,20260813,2
平日,20260814,2
平日,20260921,2
平日,20260922,2
平日,20260923,2
平日,20261012,2
平日,20261103,2
平日,20261123,2
平日,20270101,2
平日,20270111,2
平日,20270211,2
平日,20270223,2
平日,20270322,2
平日,20270429,2
平日,20270503,2
平日,20270504,2
平日,20270505,2
平日,20270719,2
平日,20270811,2
平日,20270920,2
平日,20270923,2
平日,20271011,2
平日,20271103,2
平日,20271123,2
